height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 18.309662, Pt.y = 0.000000, Q.y = 18.309662, Qt.y = 0.000000, R.y = 18.309662, Rt.y = 0.000000, S.y = 18.309662, St.y = 0.000000
P.y = 18.282951, Pt.y = 0.000000, Q.y = 18.282951, Qt.y = 0.000000, R.y = 18.282951, Rt.y = 0.000000, S.y = 18.282951, St.y = 0.000000
P.y = 18.256031, Pt.y = 0.000000, Q.y = 18.256031, Qt.y = 0.000000, R.y = 18.256031, Rt.y = 0.000000, S.y = 18.256031, St.y = 0.000000
P.y = 18.228901, Pt.y = 0.000000, Q.y = 18.228901, Qt.y = 0.000000, R.y = 18.228901, Rt.y = 0.000000, S.y = 18.228901, St.y = 0.000000
P.y = 18.201563, Pt.y = 0.000000, Q.y = 18.201563, Qt.y = 0.000000, R.y = 18.201563, Rt.y = 0.000000, S.y = 18.201563, St.y = 0.000000
P.y = 18.174015, Pt.y = 0.000000, Q.y = 18.174015, Qt.y = 0.000000, R.y = 18.174015, Rt.y = 0.000000, S.y = 18.174015, St.y = 0.000000
P.y = 18.146257, Pt.y = 0.000000, Q.y = 18.146257, Qt.y = 0.000000, R.y = 18.146257, Rt.y = 0.000000, S.y = 18.146257, St.y = 0.000000
P.y = 18.118290, Pt.y = 0.000000, Q.y = 18.118290, Qt.y = 0.000000, R.y = 18.118290, Rt.y = 0.000000, S.y = 18.118290, St.y = 0.000000
P.y = 18.090113, Pt.y = 0.000000, Q.y = 18.090113, Qt.y = 0.000000, R.y = 18.090113, Rt.y = 0.000000, S.y = 18.090113, St.y = 0.000000
P.y = 18.061728, Pt.y = 0.000000, Q.y = 18.061728, Qt.y = 0.000000, R.y = 18.061728, Rt.y = 0.000000, S.y = 18.061728, St.y = 0.000000
P.y = 18.038843, Pt.y = 0.000000, Q.y = 18.038843, Qt.y = 0.000000, R.y = 18.038843, Rt.y = 0.000000, S.y = 18.038843, St.y = 0.000000
P.y = 18.015825, Pt.y = 0.000000, Q.y = 18.015825, Qt.y = 0.000000, R.y = 18.015825, Rt.y = 0.000000, S.y = 18.015825, St.y = 0.000000
P.y = 17.992672, Pt.y = 0.000000, Q.y = 17.992672, Qt.y = 0.000000, R.y = 17.992672, Rt.y = 0.000000, S.y = 17.992672, St.y = 0.000000
P.y = 17.969385, Pt.y = 0.000000, Q.y = 17.969385, Qt.y = 0.000000, R.y = 17.969385, Rt.y = 0.000000, S.y = 17.969385, St.y = 0.000000
P.y = 17.945963, Pt.y = 0.000000, Q.y = 17.945963, Qt.y = 0.000000, R.y = 17.945963, Rt.y = 0.000000, S.y = 17.945963, St.y = 0.000000
P.y = 17.922407, Pt.y = 0.000000, Q.y = 17.922407, Qt.y = 0.000000, R.y = 17.922407, Rt.y = 0.000000, S.y = 17.922407, St.y = 0.000000
P.y = 17.898718, Pt.y = 0.000000, Q.y = 17.898718, Qt.y = 0.000000, R.y = 17.898718, Rt.y = 0.000000, S.y = 17.898718, St.y = 0.000000
